DOY,Time,F1,F2,F3,F4,F5,F6,F7,F8
136,1330,0.041414,NaN,NaN,NaN,NaN,0.028837,NaN,NaN
136,1400,0.046378,NaN,NaN,NaN,NaN,0.033315,NaN,NaN
136,1430,0.024618,NaN,NaN,NaN,NaN,0.022296,NaN,NaN
136,1500,0.0070785,NaN,NaN,NaN,NaN,0.051332,NaN,NaN
136,1530,0.0032945,NaN,NaN,NaN,NaN,0.052411,NaN,NaN
136,1600,0.0028619,NaN,NaN,NaN,NaN,0.055307,NaN,NaN
136,1630,0.0041,NaN,NaN,NaN,NaN,0.042026,NaN,NaN
136,1700,0.0036667,NaN,NaN,NaN,NaN,0.032528,NaN,NaN
136,1730,0,NaN,NaN,NaN,NaN,0.018081,NaN,NaN
136,1800,0,NaN,NaN,NaN,NaN,0.012325,NaN,NaN
136,1830,0,NaN,NaN,NaN,NaN,0.013304,NaN,NaN
136,1900,0,NaN,NaN,NaN,NaN,0.010927,NaN,NaN
136,1930,0,NaN,NaN,NaN,NaN,0.041259,NaN,NaN
136,2000,0.0044147,NaN,NaN,NaN,NaN,0.064146,NaN,NaN
136,2030,0.007349,NaN,NaN,NaN,NaN,0.063409,NaN,NaN
136,2100,0.012007,NaN,NaN,NaN,NaN,0.06453,NaN,NaN
136,2130,0.014992,NaN,NaN,NaN,NaN,0.067524,NaN,NaN
136,2200,0.016271,NaN,NaN,NaN,NaN,0.05935,NaN,NaN
136,2230,0.0089899,NaN,NaN,NaN,NaN,0.035169,NaN,NaN
136,2300,0.0068571,NaN,NaN,NaN,NaN,0.02226,NaN,NaN
136,2330,0.0047315,NaN,NaN,NaN,NaN,0.019832,NaN,NaN
137,0,0.0042953,NaN,NaN,NaN,NaN,0.052739,NaN,NaN
137,30,0.0055462,NaN,NaN,NaN,NaN,0.053836,NaN,NaN
137,100,0.0051092,NaN,NaN,NaN,NaN,0.0351,NaN,NaN
137,130,0.0046723,NaN,NaN,NaN,NaN,0.022147,NaN,NaN
137,200,0.0042353,NaN,NaN,NaN,NaN,0.014579,NaN,NaN
137,230,0.0021141,NaN,NaN,NaN,NaN,0.0071111,NaN,NaN
137,300,0,NaN,NaN,NaN,NaN,0.0047329,NaN,NaN
137,330,0,NaN,NaN,NaN,NaN,0.0023625,NaN,NaN
137,400,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,430,0,NaN,NaN,NaN,NaN,7.4751e-4,NaN,NaN
137,500,0,NaN,NaN,NaN,NaN,0.0014975,NaN,NaN
137,530,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,600,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,630,2.7964e-4,NaN,NaN,NaN,NaN,0,NaN,NaN
137,700,7.9898e-5,NaN,NaN,NaN,NaN,0,NaN,NaN
137,730,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,800,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,830,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,900,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,930,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1000,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1030,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1100,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1130,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1200,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1230,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1300,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1330,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1400,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1430,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1500,0,NaN,NaN,NaN,NaN,0,NaN,NaN
137,1530,0,NaN,NaN,NaN,NaN,0.005707,NaN,NaN
137,1600,0,NaN,NaN,NaN,NaN,0.015146,NaN,NaN
137,1630,0.0030164,NaN,NaN,NaN,NaN,0.035589,NaN,NaN
137,1700,0.0028153,NaN,NaN,NaN,NaN,0.034622,NaN,NaN
137,1730,0.016349,NaN,NaN,NaN,NaN,0.040973,NaN,NaN
137,1800,0.017888,NaN,NaN,NaN,NaN,0.038163,NaN,NaN
